character_name,traits,category
Ana de Armas,"['is_female', 'is_actor']",Acting
Chris Hemsworth,"['is_male', 'is_actor']",Acting
Jennifer Connelly,"['is_female', 'is_actor']",Acting
Natalie Portman,"['is_female', 'is_actor']",Acting
Tom Holland,"['is_male', 'is_actor']",Acting
Daisy Edgar-Jones,"['is_female', 'is_actor']",Acting
Matt Smith,"['is_male', 'is_actor']",Acting
Seung Ha,"['is_female', 'is_actor']",Acting
Austin Butler,"['is_male', 'is_actor']",Acting
Jason Statham,"['is_male', 'is_actor']",Acting
Xaria Dotson,"['is_female', 'is_actor']",Acting
Min Do-yoon,"['is_male', 'is_actor']",Acting
Katherine LaNasa,"['is_female', 'is_actor']",Acting
Millie Bobby Brown,"['is_female', 'is_actor']",Acting
Tom Hanks,"['is_male', 'is_actor']",Acting
Florence Pugh,"['is_female', 'is_actor']",Acting
Cillian Murphy,"['is_male', 'is_actor']",Acting
Taika Waititi,"['is_male', 'is_director']",Directing
Paddy Considine,"['is_male', 'is_actor']",Acting
Mia Goth,"['is_female', 'is_actor']",Acting
Luke Evans,"['is_male', 'is_actor']",Acting
Chris Pratt,"['is_male', 'is_actor']",Acting
Tessa Thompson,"['is_female', 'is_actor']",Acting
Tom Cruise,"['is_male', 'is_actor']",Acting
Angeli Khang,"['is_female', 'is_actor']",Acting
Krithi Shetty,"['is_female', 'is_actor']",Acting
Miles Teller,"['is_male', 'is_actor']",Acting
Park Eun-bin,"['is_female', 'is_actor']",Acting
Bible Wichapas Sumettikul,"['is_male', 'is_actor']",Acting
Liam Neeson,"['is_male', 'is_actor']",Acting
Joey King,"['is_female', 'is_actor']",Acting
Peyton List,"['is_female', 'is_actor']",Acting
Elsa Pataky,"['is_female', 'is_actor']",Acting
Jon Bernthal,"['is_male', 'is_actor']",Acting
Morfydd Clark,"['is_female', 'is_actor']",Acting
Sara Tomko,"['is_female', 'is_actor']",Acting
Hande Erçel,"['is_female', 'is_actor']",Acting
Tom Hardy,"['is_male', 'is_actor']",Acting
Tatiana Maslany,"['is_female', 'is_actor']",Acting
Tanner Buchanan,"['is_male', 'is_actor']",Acting
Junko Mabuki,"['is_female', 'is_actor']",Acting
